,etag,id.videoId,id.channelId,id.playlistId
0,I8EhfFKbhot4XoKJvGSbQgJlUlg,X3paOmcrTjQ,,
1,PiU4CJVbEt7PiwO9usat1JzYjvE,xC-c7E5PK0Y,,
2,zkeluh9ioQpbbPSJY6-wmeP7CxI,RBSUwFGa6Fk,,
3,DXv1-NdL7T2HPXRfHfIXlRwyf3A,ua-CiDNNj30,,
4,g_82o1rsr6dWvEJZqkh-7_CUntQ,-ETQ97mXXF0,,
5,8B3gDjQRgYPyohDdMbZIafBQTrw,pn0PUY0jwGQ,,
6,FPDQarqKvq61eNuLsV4U0Hb9AN0,sOZ8MxFw8TQ,,
7,UHozc3xYpduFC0_8ITKistWmHSA,uswU1s3M2VE,,
8,r7wnS1adEgyehn3qHpOsxxILZBU,O9nf1CqjGzI,,
9,-0PhfA-wuevjgm7mzrECd8LAAeM,Rt6eb9VOFII,,
10,jistXXQKKglui-be6BEe-Zs7s_c,OybXWl3IWvI,,
11,334-xOVrkJhW9t4LRClAttjCkaI,xpIFS6jZbe8,,
12,ffch9pe1-AefB6finGMXD215sdE,5O9abIxIqNA,,
13,G9FIZ8_LOywx1mGjtoJgwnfmDBs,N6BghzuFLIg,,
14,o6i7iOMAkpQrbREUYlHUzeFJjIU,xvEKQefqQ7A,,
15,_U7hGpKk2zbz4QjJYjYiXkk-nzk,,UCEBpSZhI1X8WaP-kY_2LLcg,
16,VeLg_esnweEjdCNwBboEBbqezSI,fUpChfNN5Uo,,
17,kbPNZ_Mm_uuSPxioZHl9z1OfrOs,iJUzouXg5kY,,
18,dEbLRJ22TeO6S_N0jtU6pL0LjIE,J68XETxye7g,,
19,onwaJFZqROwQT3af3qOXnQetMog,rqvyWUODZGE,,
20,-ImcfHCFgYnmfX9gtafGB7BLdwo,71RVNeseKZw,,
21,5EfZuSqDlyiD1-oDNEFxgGQcQYA,oMn8zc5NlL4,,
22,2PWEU9osgjkTN7DwnTPE3eqM4RM,LHBE6Q9XlzI,,
23,phxeoCVFRZUZV_OhaztYmvkQoLc,Axu4tJl8gbM,,
24,M-eeg2iVgNry4TAezItscHy7v0g,AYWLZ1lES6g,,
25,NX2cppXcOfMfd40M_aDIYGU2MwI,iPdO9MwdcLE,,
26,51YqzgvEXQgXYimRpgXAU1fpc0g,ylOILe-Sc-w,,
27,r-skrv4QoHS-hJMrTgUxycfdewE,g18uN7AJ1FM,,
28,nf5EKMclN1YVNEJsnwCcwBvXwk4,AI1eKN1Eldg,,
29,ieqXs5EJWfHGIwKUlZpnSTKL8EA,sHRq-LshG3U,,
30,7PN-X7F3MrmHS8lPFz1ksuRtM-4,DoFZtsV25Zw,,
31,gF1R-O5z0kzwS3voZ9MRibPwbzg,nLPve1gGSMU,,
32,GyXsoX9gcq6UePpk4Lobk_zp-5s,7eh4d6sabA0,,
33,CNjf8q58Gb65sQ-5dxWnF71b8G8,PNr51ZJkoBU,,
34,I1WTYhlrPx0bw47PZuE2CB_JxJU,A2v4_SFd9Cc,,
35,8zvlYDFh_zLIE2I5R1RYrmMbzJI,JUkSeqe1eYQ,,
36,-mUFbq_AlDXLZzGvKe9hMWOwCRA,gamjNp2CToQ,,
37,GIWxwfVBdXHpaqi9Stz2VcNB-k4,4Z6lxfglvUU,,
38,jP2-xu2XpCbCNQsIC0ArjwKrXvs,eJtHzkMy_1k,,
39,wTKV6Z8W9b0ifmao88NAxBZuCiY,jtn-hRJjl68,,
40,Ltuhb2UfI2RCKFHj4oSo3FOaizA,8UUhGXmT0O8,,
41,7d8U3h9esA4bPA1rusu51FQUNkg,y4yYTqjQHjM,,
42,CrepJTMRZGRf6dj_M4yYGT6Hc7o,,,PLeo1K3hjS3us_ELKYSj_Fth2tIEkdKXvV
43,PqLE1mLGvoDnHqI9waomcRQKq-g,csG_qfOTvxw,,
44,Q8krWKnB6FaleF1B2axx5cd5YgU,QMP858aZcow,,
45,W-3x8KUJ8Dn_5ZZ8g8c2oUt7FjQ,4OZip0cgOho,,
46,xXVQzMK44tg7ChxKQ8gSijx2ue8,FvGRKQipTP8,,
47,IuKcpycPKuQVBSPqKGho4vHaq3Q,65yXoFc5stI,,
48,ADhaRz5Ou_TGVAufmFxQfM-QvBg,qrhRfPY4F4w,,
49,Hl9qNasD8qtZKznH1rbREIIkNS4,XW0YptcgZSk,,
